ID,Population,BS
MB143,MY Island F,3.025
MB144,MY Island F,4.05
MB145,MY Island F,3.875
MB146,MY Island F,3.5
MB147,MY Island F,3.85
MB148,MY Island F,3.2
MB149,MY Island F,3.575
MB150,MY Island F,3.45
MB151,MY Island F,3.4
MB152,MY Island F,3.225
MB153,MY Island F,3.45
MB154,MY Island F,3.5
MB155,MY Island F,3.6
MB156,MY Island F,3.5
MB157,MY Island F,4.25
MB158,MY Island F,3.525
MB159,MY Island F,3.8
MB160,MY Island F,3.6
MB161,MY Island F,3.3
MB162,MY Island F,3.75
MB163,MY Island F,3.9
MB164,MY Island F,2.95
MB165,MY Island F,3.65
MB166,MY Island F,4.15
MB167,MY Island F,3.575
MB168,MY Island F,3.275
MB169,MY Island F,3.6
MB170,MY Island F,3.025
MB171,MY Island F,3.975
MB173,MY Island F,4.05
MB174,MY Island F,4.1
MB175,MY Island F,3.675
MB176,MY Island F,3.55
MB177,MY Island F,4.175
MB178,MY Island F,3.65
MB179,MY Island F,3.85
MB342,MY Island F,4.1
MB278,MY Island F,3.95
MB280,MY Island F,4.25
